,exercise
854,twoarm dumbbell row
855,rows 
856,seated leg curls
857,speed sumo deadlift
858,barbell tricep ext on floor
859,standing chest fly
860,sprint intervals any form  21 ratio low to high intensity
861,kettlebell walking lunge
862,standing knee to elbow
863,terminal knee extension
864,close grip 3 board press
865,medicine ball oblique toss
866,closegrip bench
867,hyperextensions
868,dumbbell romanian deadlift
869,seated shoulder press 1 12 reps
870,pause back squat
871,dumbbell stiff legged deadlift
872,wide grips pulldowns
873,single arm dumbbell shoulder press
874,drag curl
875,single arm pressdown
876,superset  dumbbell bench press
877,heels elevated dumbbell squat
878,rear bodyweight lunge
879,mediumwidth grip pullups
880,dumbbell standing calf raise
881,kettlebell row
882,dumbbell split squat 
883,side plank  hip dips
884,band pulldown
885,tricep extension
886,medicine ball slams
887,barbell pullover
888,dumbbell flyes
889,banded curl
890,sissy squat
891,machine lateral raise
892,kettlebell clean and press
893,half kneeling vertical pallof press
894,lying banded leg curl
895,pikes feet on swiss ball
896,flat barbell bench presses
897,dumbbell lunges
898,band pulls
899,bent over dumbbell reverse fly
900,behind the neck shoulder press
901,dips 
902,rack deadlift
903,butt kicks weighted
904,machine reverse fly
905,reverse fly machine
906,high knees with kettlebell
907,dumbbell lunge
908,hammer strength bench press
909,one arm reverse grip cable tricep extension
910,wipers
911,vbar pull downs
912,seated calf raise
913,kneeling rope pressdown
914,concentration curl
915,dips using bodyweight
916,straight bar low cable curl
917,leg press calf press
918,superset  leg extensions
919,standing alternating dumbbell curls
920,suitcase walks 
921,500 m intervals 
922,hack squat  burn
923,inverted row 
924,bb flat bench press
925,standing tricep pushdown rope vbar or straight bar
926,tall kneeling medicine ball chest pass
927,single arm rear delt raise
928,1 leg pushups
929,rope face pulls
930,reverse grip clean and press
931,standing ez bar curls
932,incline flys
933,dumbbell sack squat jump
934,barbell ab rollout
935,rear delt fly machine
936,med ball slams
937,ab wheel roll outs or weighted sit ups
938,half kneeling dumbbell single arm overhead press 
939,cable delt raises
940,standing calf raise one leg
941,rope tricep push down
942,standing kettlebell twist
943,alternating front  back shoulder barbell press
944,bent over dumbbell rear laterals
945,2 arm dumbbell kickback
946,backward lunges on the smith machine
947,band pushdown
948,speed deadlifts
949,plank or ab wheel rollout
950,single arm incline cable side lateral
951,straight arm pull downs
952,kneeling concentration curls
953,calf raise seated or standing
954,boxing
955,under
956,standing dumbbell curls both at the same time
957,close grip pull down 
958,glute bridges
959,straight bar curls w 5 second pause at midway point of last rep
960,tricep pushdown hands 810 apart
961,barbell reverse lunge
962,prone reverse raise
963,set 7
964,facepull
965,flat bench cable fly
966,seated behind the neck press
967,dumbbell preacher curl 
968,bent over concentration curls
969,plie jump squats 
970,seated machine chest press
971,seated dumbbell shoulder press
972,plank with overhead cable row
973,medium
974,superset box jump and reverse lunge
975,incline dumbbell side lateral raise
976,seated curls
977,car pushes
978,tricep dips
979,lat pull down
980,glute cable kickback
981,set 6
